"id","reconcile","code","tax_ids/id","name","tag_ids/id","user_type_id/id","chart_template_id/id"
"230200","False","230200","","Withholding Taxes ","account.account_tag_operating,tag_tax_withholding","account.data_account_type_expenses","l10n_lk"
"230300","False","230300","","Economic Service Charge","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230400","False","230400","","Value Added Tax","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230500","False","230500","","Nation Building Tax","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230600","False","230600","","Stamp Duty","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230700","False","230700",""," Share Transaction Levy ","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230800","False","230800","","Betting and gaming Levy","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"230900","False","230900","","Income Tax","account.account_tag_operating,tag_account_taxes","account.data_account_type_expenses","l10n_lk"
"300000","False","300000","","Equity","","account.data_account_type_equity","l10n_lk"
"300100","False","300100","","Capital","","account.data_account_type_equity","l10n_lk"
"300200","False","300200","","Dividends","","account.data_account_type_equity","l10n_lk"
